ABN,Name,Main activity,Charity size,Full time staff,Part time staff,Volunteers
11416414259,Butchers Creek Hall Association Incorporated,Other recreation and social club activity,Small,0,0,30
11421798464,St Stephens Belrose Kindergarten Inc,Other education,Medium,3,20,10
11424274834,Bradfordville P & C Association,Other activity,Small,0,1,35
11429394461,Fairfield Christian Family,,Small,1,4,100
11434864088,Woolgoolga Surf Life Saving Club Inc.,Emergency and relief,Small,0,0,200
11434932938,Brookes Street Nambour Community Kindergarten & Preschool Association Inc,Other education,Small,1,5,8
11435026358,The Trustees Of The Hospitaller Order Of St John Of God,Religious activities,Small,1,4,0
11436369036,Wilberforce Public School P & C Association,Other activity,Small,0,0,30
11437186326,Tian Ci Xiang Zhen Holy Dao Association Inc,,Small,1,0,30
11443064118,The Parish Of St John The Evangelist Epping,,Small,1,0,20
11450355911,Denmark Volunteer Fire Brigade,,Small,0,0,25
11452411243,The Trustee For Mid Richmond Education Fund,Other education,Small,0,0,11
11453217641,MENTONE RSL SUB-BRANCH PATRIOTIC FUND,,SMALL,0,0,0
11456974518,The Synod Of The Diocese Of The Murray Of The Anglican Church Of Australia Inc,Religious activities,Large,2,0,25
11460996012,Bendigo Diocesan Trusts Corporation,Religious activities,Small,1,0,4
11461295878,Palmdale Trust,Grant-making activities,Small,0,0,0
11465017203,Hornsby Girls High School P&C Association,Primary and secondary education,Small,0,0,30
11469675621,The Trustee For L J Spriggs Memorial Award,Primary and secondary education,Small,0,0,0
11471023261,The Korean Buddhist Kwan Um Sa Incorporated,Religious activities,Small,0,1,10
11472476854,Springwood Rsl Sub Branch The Returned And Services League Of Australia New South Wales Branch,,Small,0,0,8
11472625252,Simonds Catholic College West Melbourne,Primary and secondary education,Large,49,12,0
11473481983,Permaculture Sydney South Incorporated,Environmental activities,Small,0,0,8
11477115050,Epilepsy Assoc ACT Inc,Other activity,Small,1,0,20
11478617475,St Finbar's Catholic Church Brighton East,Religious activities,Small,0,2,70
11479200346,The Corporation Of The Diocesan Synod Of North Queensland,Religious activities,small,0,0,8
11483474386,Farm Road Pre School Inc,Other education,Medium,1,10,0
11491151011,Catholic Parish Of Holy Cross Helensburgh,Religious activities,Small,1,1,106
11492147062,Four Plus Two,,Small,0,0,1
11495594924,Sids And Kids Queensland Inc.,Other activity,Medium,3,2,10
11496421524,Willows Presbyterian Church,Religious activities,Medium,0,0,0
11499648774,Australian National University Pre School & Child Care Centre,Other education,Large,16,14,15
11501880998,Coleraine RSL Sub-Branch,Other activity,SMALL,0,0,6
11502290864,The Wenkart Foundation,,Small,0,0,06
11504332761,St Brendans Catholic Primary School Lake Munmorah,Primary and secondary education,Large,17,8,0
11506781170,Alstonville High School P&C Assn,Primary and secondary education,Medium,0,3,100
11507709511,Northern District Community Health,Other health service delivery,Large,17,23,0
11512629602,Broadford Presbyterian Church,Religious activities,Small,1,0,0
11513202510,The Corporation Of The Synod Of The Diocese Of Brisbane,Religious activities,Medium,1,1,50
11513224860,The Trustee for Rock of Ages Christian Church,,Small,0,0,5
11513626906,The Trustee For The Frances Elizabeth Thomson Trust,Grant-making activities,Small,0,0,0
11514282731,Community Lifestyle Support Ltd,Other activity,Large,22,105,2
11515367995,Nimbin Aquarius Foundation Incorporated,Other activity,Small,0,0,25
11518781412,Pep (Progressive Employment Personnel) Inc,Mental health and crisis intervention,Small,1,2,0
11522518811,Mandurah Lotteries House Inc,Other activity,Small,0,1,0
11522782671,Ipswich Region Community Church,Religious activities,Medium,3,6,500
11526445815,Camberwell Baptist Church Kindergarten,Other education,Small,1,5,7
11527784059,Blinky Bill Early Learning Portland INC,Other education,Medium,1,6,0
11538175792,Uca - Hutchinson Close,Other activity,Small,0,0,5
11538514248,Iglesia De La Profecia Nueva Rosa De Saron Inc,Religious activities,Small,0,0,40
11538849269,Deception Bay Meals On Wheels Inc,Other health service delivery,Small,0,0,30
11541096517,Sacred Heart Primary School Oakleigh,Primary and secondary education,Large,15,13,70
11541215706,Our Lady Of The Rosary Catholic Church St Marys,Religious activities,Small,2,0,50
11545295692,Roseworthy Agricultural Museum,Other education,Small,0,0,9
11546045018,Woodberry Public School P&C Association,Primary and secondary education,Small,1,0,2
11546046875,Ariah Park Showground Trust,,Small,0,0,5
11548623739,New Norfolk Congregation of Jehovah's Witnesses,Religious activities,Small,0,0,107
11551815631,Graceville State School P&C Assn ,Primary and secondary education,Medium,0,2,0
